Order ID,Product ID,Product Title,Quantity,TotalPrice,CustomerName,CustomerEmail
1,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,4,15.18,Customer-1,customer1@example.com,
2,gid://shopify/Product/2,The Minimal Snowboard,1,74.91,Customer-2,customer2@example.com,
3,gid://shopify/Product/3,The Archived Snowboard,7,65.33,Customer-3,customer3@example.com,
4,gid://shopify/Product/3,The Archived Snowboard,3,103.27,Customer-4,customer4@example.com,
5,gid://shopify/Product/3,The Archived Snowboard,3,44.48,Customer-5,customer5@example.com,
6,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,9,51.37,Customer-6,customer6@example.com,
7,gid://shopify/Product/3,The Archived Snowboard,7,77.88,Customer-7,customer7@example.com,
8,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,10,36.30,Customer-8,customer8@example.com,
9,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,2,45.05,Customer-9,customer9@example.com,
10,gid://shopify/Product/3,The Archived Snowboard,5,48.21,Customer-10,customer10@example.com,
11,gid://shopify/Product/3,The Archived Snowboard,7,25.29,Customer-11,customer11@example.com,
12,gid://shopify/Product/2,The Minimal Snowboard,5,22.40,Customer-12,customer12@example.com,
13,gid://shopify/Product/3,The Archived Snowboard,4,46.07,Customer-13,customer13@example.com,
14,gid://shopify/Product/1,The Videographer Snowboard,6,12.70,Customer-14,customer14@example.com,
15,gid://shopify/Product/2,The Minimal Snowboard,1,100.45,Customer-15,customer15@example.com,
16,gid://shopify/Product/2,The Minimal Snowboard,8,60.03,Customer-16,customer16@example.com,
17,gid://shopify/Product/2,The Minimal Snowboard,7,51.44,Customer-17,customer17@example.com,
18,gid://shopify/Product/1,The Videographer Snowboard,3,74.60,Customer-18,customer18@example.com,
19,gid://shopify/Product/2,The Minimal Snowboard,4,96.91,Customer-19,customer19@example.com,
20,gid://shopify/Product/2,The Minimal Snowboard,1,14.58,Customer-20,customer20@example.com,
21,gid://shopify/Product/2,The Minimal Snowboard,10,105.09,Customer-21,customer21@example.com,
22,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,2,70.76,Customer-22,customer22@example.com,
23,gid://shopify/Product/1,The Videographer Snowboard,6,78.24,Customer-23,customer23@example.com,
24,gid://shopify/Product/2,The Minimal Snowboard,7,102.19,Customer-24,customer24@example.com,
25,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,6,107.41,Customer-25,customer25@example.com,
26,gid://shopify/Product/2,The Minimal Snowboard,4,11.25,Customer-26,customer26@example.com,
27,gid://shopify/Product/1,The Videographer Snowboard,7,23.11,Customer-27,customer27@example.com,
28,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,4,21.92,Customer-28,customer28@example.com,
29,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,5,36.54,Customer-29,customer29@example.com,
30,gid://shopify/Product/3,The Archived Snowboard,5,21.24,Customer-30,customer30@example.com,
31,gid://shopify/Product/1,The Videographer Snowboard,4,40.37,Customer-31,customer31@example.com,
32,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,9,28.30,Customer-32,customer32@example.com,
33,gid://shopify/Product/1,The Videographer Snowboard,10,69.03,Customer-33,customer33@example.com,
34,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,7,51.42,Customer-34,customer34@example.com,
35,gid://shopify/Product/1,The Videographer Snowboard,2,99.01,Customer-35,customer35@example.com,
36,gid://shopify/Product/3,The Archived Snowboard,6,80.35,Customer-36,customer36@example.com,
37,gid://shopify/Product/1,The Videographer Snowboard,5,31.64,Customer-37,customer37@example.com,
38,gid://shopify/Product/3,The Archived Snowboard,8,95.61,Customer-38,customer38@example.com,
39,gid://shopify/Product/3,The Archived Snowboard,5,102.74,Customer-39,customer39@example.com,
40,gid://shopify/Product/2,The Minimal Snowboard,6,65.06,Customer-40,customer40@example.com,
41,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,2,88.90,Customer-41,customer41@example.com,
42,gid://shopify/Product/1,The Videographer Snowboard,1,33.81,Customer-42,customer42@example.com,
43,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,6,83.76,Customer-43,customer43@example.com,
44,gid://shopify/Product/2,The Minimal Snowboard,9,12.57,Customer-44,customer44@example.com,
45,gid://shopify/Product/1,The Videographer Snowboard,10,98.05,Customer-45,customer45@example.com,
46,gid://shopify/Product/2,The Minimal Snowboard,5,14.41,Customer-46,customer46@example.com,
47,gid://shopify/Product/1,The Videographer Snowboard,5,58.40,Customer-47,customer47@example.com,
48,gid://shopify/Product/3,The Archived Snowboard,2,13.69,Customer-48,customer48@example.com,
49,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,2,98.51,Customer-49,customer49@example.com,
50,gid://shopify/Product/2,The Minimal Snowboard,9,10.18,Customer-50,customer50@example.com,
51,gid://shopify/Product/2,The Minimal Snowboard,7,67.81,Customer-51,customer51@example.com,
52,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,6,82.10,Customer-52,customer52@example.com,
53,gid://shopify/Product/1,The Videographer Snowboard,9,76.49,Customer-53,customer53@example.com,
54,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,7,14.68,Customer-54,customer54@example.com,
55,gid://shopify/Product/1,The Videographer Snowboard,9,62.94,Customer-55,customer55@example.com,
56,gid://shopify/Product/1,The Videographer Snowboard,8,39.52,Customer-56,customer56@example.com,
57,gid://shopify/Product/3,The Archived Snowboard,10,94.90,Customer-57,customer57@example.com,
58,gid://shopify/Product/2,The Minimal Snowboard,10,28.71,Customer-58,customer58@example.com,
59,gid://shopify/Product/2,The Minimal Snowboard,2,66.01,Customer-59,customer59@example.com,
60,gid://shopify/Product/2,The Minimal Snowboard,3,65.27,Customer-60,customer60@example.com,
61,gid://shopify/Product/2,The Minimal Snowboard,9,32.12,Customer-61,customer61@example.com,
62,gid://shopify/Product/3,The Archived Snowboard,7,72.19,Customer-62,customer62@example.com,
63,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,1,102.51,Customer-63,customer63@example.com,
64,gid://shopify/Product/2,The Minimal Snowboard,8,105.82,Customer-64,customer64@example.com,
65,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,8,26.67,Customer-65,customer65@example.com,
66,gid://shopify/Product/1,The Videographer Snowboard,6,58.59,Customer-66,customer66@example.com,
67,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,5,85.09,Customer-67,customer67@example.com,
68,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,8,60.94,Customer-68,customer68@example.com,
69,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,2,56.03,Customer-69,customer69@example.com,
70,gid://shopify/Product/1,The Videographer Snowboard,9,34.38,Customer-70,customer70@example.com,
71,gid://shopify/Product/3,The Archived Snowboard,4,45.78,Customer-71,customer71@example.com,
72,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,4,104.67,Customer-72,customer72@example.com,
73,gid://shopify/Product/1,The Videographer Snowboard,7,47.34,Customer-73,customer73@example.com,
74,gid://shopify/Product/2,The Minimal Snowboard,6,50.44,Customer-74,customer74@example.com,
75,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,5,35.43,Customer-75,customer75@example.com,
76,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,1,31.51,Customer-76,customer76@example.com,
77,gid://shopify/Product/1,The Videographer Snowboard,3,102.70,Customer-77,customer77@example.com,
78,gid://shopify/Product/1,The Videographer Snowboard,7,97.71,Customer-78,customer78@example.com,
79,gid://shopify/Product/2,The Minimal Snowboard,9,104.71,Customer-79,customer79@example.com,
80,gid://shopify/Product/1,The Videographer Snowboard,7,108.82,Customer-80,customer80@example.com,
81,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,9,32.53,Customer-81,customer81@example.com,
82,gid://shopify/Product/1,The Videographer Snowboard,7,22.55,Customer-82,customer82@example.com,
83,gid://shopify/Product/1,The Videographer Snowboard,3,73.27,Customer-83,customer83@example.com,
84,gid://shopify/Product/4,The Collection Snowboard: Hydrogen,5,104.77,Customer-84,customer84@example.com,
